id,rank,word,lemma,pos,pos_long,english_definition,frequency,sum_frequency,coca_spoken_freq,coca_fiction_freq,coca_magazines_freq,coca_newspapers_freq,sat,gre
64,64,time,time,nn1,noun,The inevitable progression into the future with the passing of present events into the past.,721409,166975542,1810,1751,1575,1396,FALSE,FALSE
65,65,could,could,vm,verb,,711592,167687134,1440,2758,1274,1247,FALSE,FALSE
66,66,than,than,cs,conjunction,,665133,168352267,1094,1078,1778,1618,FALSE,FALSE
67,67,like,like,ii,preposition,,659427,169011694,1640,2314,1433,1152,FALSE,FALSE
68,68,',',ge,germanic genitive marker,,640161,169651855,1142,920,1372,2099,FALSE,FALSE
69,69,think,think,vv0,verb,"To ponder, to go over in one's head.",636809,170288664,4094,1091,603,722,FALSE,FALSE
70,70,then,then,rr,adverb,,623879,170912543,1408,2513,1231,876,FALSE,FALSE
71,71,other,other,jj,adjective,,621653,171534196,1213,947,1372,1350,FALSE,FALSE
72,72,our,our,appge,possesive pronoun,Belonging to us.,610183,172144379,1933,1086,1446,1004,FALSE,FALSE
73,73,its,its,appge,possesive pronoun,,603623,172748002,769,835,1546,1560,FALSE,FALSE
74,74,these,these,dd,determiner,,586061,173334063,1614,569,1203,723,FALSE,FALSE
75,75,get,get,vv0,verb,,584993,173919056,2211,1494,1167,1128,FALSE,FALSE
76,76,two,two,mc,number,A numerical value equal to 2.,584444,174503500,1153,1237,1264,1455,FALSE,FALSE
77,77,says,say,vvz,verb,,570397,175073897,919,615,2124,2128,FALSE,FALSE
78,78,going,go,vvg,verb,,537252,175611149,3188,1027,558,788,FALSE,FALSE
79,79,also,also,rr,adverb,In addition; besides; as well; further; too.,537098,176148247,1041,354,1307,1288,FALSE,FALSE
80,80,first,first,md,number,,530956,176679203,1229,923,1199,1318,FALSE,FALSE
81,81,years,year,nn2,noun,,527547,177206750,1272,749,1272,1504,FALSE,FALSE
82,82,because,because,cs,conjunction,,506269,177713019,1970,766,919,906,FALSE,FALSE
83,83,new,new,jj,adjective,,492693,178205712,904,579,1328,1345,FALSE,FALSE
84,84,well,well,rr,adverb,,489487,178695199,2849,852,587,438,FALSE,FALSE
85,85,more,more,da,determiner,,486372,179181571,1107,725,1235,1323,FALSE,FALSE
86,86,see,see,vv0,verb,"To perceive or detect with the eyes, or as if by sight.",482714,179664285,1458,1476,856,656,FALSE,FALSE
87,87,no,no,at,article,,476659,180140944,1097,1246,946,943,FALSE,FALSE
88,88,here,here,rr,adverb,This place; this location.,476046,180616990,2204,1323,556,686,FALSE,FALSE
89,89,way,way,nn1,noun,,467800,181084790,1290,1322,983,808,FALSE,FALSE
90,90,her,her,pp,pronoun,,461605,181546395,738,3165,525,417,FALSE,FALSE
91,91,very,very,rr,adverb,,445323,181991718,2366,640,623,613,FALSE,FALSE
92,92,many,many,da,determiner,An indefinite large number of.,437522,182429240,917,454,1100,1103,FALSE,FALSE
93,93,those,those,dd,determiner,,434590,182863830,1222,684,834,856,FALSE,FALSE
94,94,only,only,rr,adverb,,429758,183293588,617,1000,1018,854,FALSE,FALSE
95,95,back,back,rr,adverb,Toward the rear; in the opposite direction from the one that one is facing or traveling.,424619,183718207,1300,1773,649,648,FALSE,FALSE
96,96,go,go,vv0,verb,,423476,184141683,1749,1197,680,696,FALSE,FALSE
97,97,say,say,vv0,verb,,422280,184563963,1891,958,571,866,FALSE,FALSE
98,98,one,one,pn,pronoun,A numerical value equal to 1.,422033,184985996,933,1260,836,654,FALSE,FALSE
99,99,us,us,pp,pronoun,,417833,185403829,1752,1032,715,536,FALSE,FALSE
100,100,even,even,rr,adverb,,415055,185818884,798,1128,1022,800,FALSE,FALSE
101,101,good,good,jj,adjective,Acting in the interest of good; ethical.,410105,186228989,1447,964,827,754,FALSE,FALSE
102,102,make,make,vv0,verb,,410091,186639080,1083,821,1060,872,FALSE,FALSE
103,103,through,through,ii,preposition,,394093,187033173,595,1153,838,764,FALSE,FALSE
104,104,any,any,dd,determiner,At least one; of at least one kind.,393870,187427043,1066,818,818,731,FALSE,FALSE
105,105,there,there,rr,adverb,,381355,187808398,1661,1206,477,542,FALSE,FALSE
106,106,down,down,rr,adverb,,379010,188187408,850,1704,720,605,FALSE,FALSE
107,107,want,want,vv0,verb,,375156,188562564,1589,958,629,644,FALSE,FALSE
108,108,more,more,rr,adverb,,373740,188936304,554,450,947,746,FALSE,FALSE
109,109,does,do,vdz,verb,,367907,189304211,1238,698,739,702,FALSE,FALSE
110,110,may,may,vm,verb,,363929,189668140,668,233,957,597,FALSE,FALSE
111,111,after,after,ii,preposition,Subsequent to; following in time; later than.,360173,190028313,701,735,826,1037,FALSE,FALSE
112,112,year,year,nn1,noun,The time it takes the Earth to complete one revolution of the Sun. ,355002,190383315,742,295,882,1455,FALSE,FALSE
113,113,should,should,vm,verb,"Used to indicate obligation, duty, or correctness, typically when criticizing someone's actions.",354862,190738177,926,627,714,653,FALSE,FALSE
114,114,over,over,ii,preposition,,346899,191085076,642,928,783,767,FALSE,FALSE
115,115,still,still,rr,adverb,,341583,191426659,789,1039,724,738,FALSE,FALSE
116,116,world,world,nn1,noun,,337070,191763729,720,486,811,758,FALSE,FALSE
117,117,last,last,md,number,,333047,192096776,849,572,629,1289,FALSE,FALSE
118,118,take,take,vv0,verb,To grasp with the hands.,332647,192429423,1046,794,715,635,FALSE,FALSE
119,119,day,day,nn1,noun,,329417,192758840,847,937,761,716,FALSE,FALSE
120,120,in,in,rr,adverb,,327849,193086689,821,863,639,562,FALSE,FALSE
121,121,too,too,rr,adverb,,322209,193408898,652,1203,709,591,FALSE,FALSE
122,122,as,as,rr,adverb,,321322,193730220,656,707,809,658,FALSE,FALSE
123,123,life,life,nn1,noun,,319765,194049985,714,716,795,588,FALSE,FALSE
124,124,when,when,rr,adverb,Used to introduce questions about time.,310641,194360626,852,763,674,672,FALSE,FALSE
125,125,really,really,rr,adverb,,308802,194669428,1673,583,456,440,FALSE,FALSE
126,126,man,man,nn1,noun,,305734,194975162,804,1389,441,423,FALSE,FALSE
127,127,three,three,mc,number,,305225,195280387,570,575,696,828,FALSE,FALSE
128,128,between,between,ii,preposition,"In the position or interval that separates (two things), or intermediate in quantity or degree.",301388,195581775,358,430,569,479,FALSE,FALSE
129,129,never,never,rr,adverb,At no time; on no occasion; in no circumstance.,301061,195882836,697,1119,599,566,FALSE,FALSE
130,130,something,something,pn,pronoun,An uncertain or unspecified thing; one thing.,295287,196178123,995,1084,466,418,FALSE,FALSE
131,131,being,be,vbg,verb,,294908,196473031,868,505,563,618,FALSE,FALSE
132,132,much,much,da,determiner,,280652,196753683,918,569,594,552,FALSE,FALSE
133,133,school,school,nn1,noun,,277496,197031179,382,370,419,837,FALSE,FALSE
134,134,out,out,ii,preposition,,276955,197308134,685,1025,514,524,FALSE,FALSE
135,135,president,president,nn1,noun,The head of state of a republic.,274806,197582940,1510,86,356,729,FALSE,FALSE
136,136,another,another,dd,determiner,"One more, in addition to a former number; a second or additional one, similar in likeness or in effect.",274675,197857615,575,705,599,589,FALSE,FALSE
137,137,own,own,da,determiner,,273741,198131356,500,676,646,497,FALSE,FALSE
138,138,on,on,rr,adverb,,272922,198404278,924,873,488,407,FALSE,FALSE
139,139,right,right,rr,adverb,,269177,198673455,1700,639,266,198,FALSE,FALSE
140,140,while,while,cs,conjunction,,269151,198942606,267,523,732,654,FALSE,FALSE
141,141,most,most,rr,adverb,,258732,199201338,440,248,736,587,FALSE,FALSE
142,142,things,thing,nn2,noun,,254898,199456236,1023,616,445,431,FALSE,FALSE
143,143,state,state,nn1,noun,Any sovereign polity. A government.,254000,199710236,514,111,391,958,FALSE,FALSE
144,144,same,same,da,determiner,Not different or other; not another or others; not different as regards self; selfsame; numerically identical.,253754,199963990,531,509,584,490,FALSE,FALSE
145,145,come,come,vv0,verb,To move from further away to nearer to.,253717,200217707,919,797,407,405,FALSE,FALSE
146,146,children,child,nn2,noun,,253431,200471138,491,326,507,570,FALSE,FALSE
147,147,house,house,nn1,noun,,252712,200723850,742,768,465,582,FALSE,FALSE
148,148,every,every,at,article,,245745,200969595,605,579,634,532,FALSE,FALSE
149,149,where,where,cs,conjunction,,245573,201215168,578,602,532,550,FALSE,FALSE
150,150,american,american,jj,adjective,,243074,201458242,623,108,551,596,FALSE,FALSE
151,151,might,might,vm,verb,,239760,201698002,473,659,507,431,FALSE,FALSE
152,152,about,about,rr,adverb,,239440,201937442,627,390,638,630,FALSE,FALSE
153,153,over,over,rr,adverb,,238978,202176420,583,908,456,394,FALSE,FALSE
154,154,women,woman,nn2,noun,,237492,202413912,440,321,620,480,FALSE,FALSE
155,155,again,again,rr,adverb,Another time; once more.,237155,202651067,662,1032,339,310,FALSE,FALSE
156,156,such,such,da,determiner,,231593,202882660,239,376,528,434,FALSE,FALSE
157,157,against,against,ii,preposition,In a contrary direction to.,231459,203114119,487,567,417,601,FALSE,FALSE
158,158,percent,percent,nn1,noun,A part or other object per hundred.,226940,203341059,473,33,491,837,FALSE,FALSE
159,159,few,few,da,determiner,,226559,203567618,371,607,616,497,FALSE,FALSE
160,160,each,each,dd,determiner,,226115,203793733,160,348,662,432,FALSE,FALSE
161,161,where,where,rr,adverb,While on the contrary; although; whereas.,225423,204019156,682,647,407,411,FALSE,FALSE
162,162,students,student,nn2,noun,,224968,204244124,122,73,180,344,FALSE,FALSE
163,163,family,family,nn1,noun,,220939,204465063,522,339,531,562,FALSE,FALSE
164,164,more,more,rrr,adverb,,220753,204685816,484,413,557,478,FALSE,FALSE
165,165,look,look,vv0,verb,,219384,204905200,806,706,407,297,FALSE,FALSE
166,166,during,during,ii,preposition,,217897,205123097,269,198,539,549,FALSE,FALSE
167,167,work,work,nn1,noun,,216058,205339155,314,350,530,445,FALSE,FALSE
168,168,so,so,cs,conjunction,,214831,205553986,713,598,459,304,FALSE,FALSE
169,169,thing,thing,nn1,noun,,211671,205765657,904,600,336,321,FALSE,FALSE
170,170,off,off,rr,adverb,,211579,205977236,416,873,476,406,FALSE,FALSE
171,171,today,today,rr,adverb,On the current day or date.,211033,206188269,1002,191,364,444,FALSE,FALSE
172,172,big,big,jj,adjective,"Of great size, large.",207742,206396011,605,505,491,537,FALSE,FALSE
173,173,always,always,rr,adverb,At all times; ever; perpetually; throughout all time; continually.,207098,206603109,490,671,454,372,FALSE,FALSE
174,174,old,old,jj,adjective,,206861,206809970,349,870,436,358,FALSE,FALSE
175,175,next,next,md,number,,204988,207014958,627,427,452,496,FALSE,FALSE
176,176,high,high,jj,adjective,,202671,207217629,280,294,473,541,FALSE,FALSE
177,177,came,come,vvd,verb,,201415,207419044,486,776,347,380,FALSE,FALSE
178,178,government,government,nn1,noun,"The body with the power to make and/or enforce laws to control a country, land area, people or organization.",201118,207620162,603,57,330,583,FALSE,FALSE
179,179,city,city,nn1,noun,,200294,207820456,363,263,406,860,FALSE,FALSE
180,180,before,before,ii,preposition,Earlier than (in time).,199507,208019963,321,504,485,523,FALSE,FALSE
181,181,got,get,vvd,verb,,198470,208218433,703,742,297,338,FALSE,FALSE
182,182,lot,lot,nn1,noun,,197277,208415710,1058,262,294,418,FALSE,FALSE
183,183,part,part,nn1,noun,A fraction of a whole.,196113,208611823,513,291,409,433,FALSE,FALSE
184,184,without,without,ii,preposition,,195831,208807654,284,507,471,395,FALSE,FALSE
185,185,night,night,nn1,noun,,194320,209001974,489,883,317,337,FALSE,FALSE
186,186,find,find,vv0,verb,,194132,209196106,478,488,499,351,FALSE,FALSE
187,187,country,country,nn1,noun,,191480,209387586,749,142,353,486,FALSE,FALSE
188,188,place,place,nn1,noun,A location or position.,191204,209578790,382,539,403,396,FALSE,FALSE
189,189,tell,tell,vv0,verb,,190791,209769581,737,763,257,204,FALSE,FALSE
190,190,must,must,vm,verb,,190684,209960265,228,499,372,313,FALSE,FALSE
191,191,national,national,jj,adjective,,190465,210150730,354,40,463,543,FALSE,FALSE
192,192,need,need,vv0,verb,To be necessary (to someone).,190335,210341065,561,400,467,329,FALSE,FALSE
193,193,money,money,nn1,noun,"A legally or socially binding conceptual contract of entitlement to wealth, void of intrinsic value, payable for all debts and taxes, and regulated in supply.",188474,210529539,612,306,397,557,FALSE,FALSE
194,194,different,different,jj,adjective,Not the same; exhibiting a difference,186925,210716464,473,230,371,291,FALSE,FALSE
195,195,under,under,ii,preposition,,186444,210902908,308,468,371,409,FALSE,FALSE
196,196,yes,yes,uh,interjection,,186378,211089286,1182,525,122,107,FALSE,FALSE
197,197,went,go,vvd,verb,,184543,211273829,516,717,303,341,FALSE,FALSE
198,198,water,water,nn1,noun,"A chemical, found at room temperature and pressure as a clear liquid, required by all forms of life on Earth.",182459,211456288,185,487,578,351,FALSE,FALSE
199,199,war,war,nn1,noun,"Organized, large-scale, armed conflict between country countries or between national, ethnic, or other sizeable groups, usually involving the engagement of military forces.",178200,211634488,539,167,358,414,FALSE,FALSE
200,200,men,man,nn2,noun,,177630,211812118,291,504,421,336,FALSE,FALSE
201,201,small,small,jj,adjective,Not large or big; insignificant; few in numbers or size.,177437,211989555,200,502,512,355,FALSE,FALSE
202,202,can,can,vm,verb,,177178,212166733,576,591,341,337,FALSE,FALSE
203,203,mean,mean,vv0,verb,,176428,212343161,1164,349,136,109,FALSE,FALSE
204,204,made,make,vvd,verb,,176184,212519345,353,631,344,361,FALSE,FALSE
205,205,though,though,cs,conjunction,,175276,212694621,297,580,401,338,FALSE,FALSE
206,206,room,room,nn1,noun,,175248,212869869,201,962,341,301,FALSE,FALSE
207,207,mother,mother,nn1,noun,,174147,213044016,281,937,286,253,FALSE,FALSE
208,208,group,group,nn1,noun,,172647,213216663,240,119,345,450,FALSE,FALSE
209,209,four,four,mc,number,,172595,213389258,339,274,398,521,FALSE,FALSE
210,210,took,take,vvd,verb,,172387,213561645,323,695,321,350,FALSE,FALSE
211,211,little,little,jj,adjective,Small in size.,171727,213733372,542,675,298,229,FALSE,FALSE
212,212,system,system,nn1,noun,,170545,213903917,279,92,419,369,FALSE,FALSE
213,213,days,day,nn2,noun,,168944,214072861,415,384,417,420,FALSE,FALSE
214,214,black,black,jj,adjective,An object absorbing all light and reflecting none; dark and colourless.,168338,214241199,222,480,468,341,FALSE,FALSE
215,215,give,give,vv0,verb,To transfer one's possession or holding of.,167750,214408949,549,410,344,307,FALSE,FALSE
216,216,like,like,vv0,verb,,167297,214576246,668,474,286,267,FALSE,FALSE
217,217,both,both,db,determiner,Each of the two; one and the other.,166517,214742763,322,298,324,303,FALSE,FALSE
218,218,away,away,rr,adverb,"To or at a distance from a particular place, person, or thing.",166055,214908818,333,803,306,253,FALSE,FALSE
219,219,number,number,nn1,noun,,165705,215074523,405,162,331,312,FALSE,FALSE
220,220,around,around,ii,preposition,Defining a circle or closed curve containing a thing.,165431,215239954,304,618,373,309,FALSE,FALSE
221,221,until,until,cs,conjunction,,164965,215404919,217,473,540,376,FALSE,FALSE
222,222,fact,fact,nn1,noun,,164805,215569724,636,219,307,223,FALSE,FALSE
223,223,important,important,jj,adjective,,164447,215734171,408,126,332,239,FALSE,FALSE
224,224,woman,woman,nn1,noun,An adult female human.,163861,215898032,458,698,244,210,FALSE,FALSE
225,225,case,case,nn1,noun,"An actual event, situation, or fact.",163296,216061328,566,168,236,319,FALSE,FALSE
226,226,after,after,cs,conjunction,Signifies that the action of the clause it starts takes place before the action of the other clause.,163198,216224526,306,448,381,396,FALSE,FALSE
227,227,made,make,vvn,verb,,162309,216386835,335,305,377,350,FALSE,FALSE
228,228,political,political,jj,adjective,,162090,216548925,371,34,226,351,FALSE,FALSE
229,229,times,time,nn2,noun,,161988,216710913,375,277,405,410,FALSE,FALSE
230,230,doing,do,vdg,verb,,161616,216872529,685,353,272,275,FALSE,FALSE
231,231,let,let,vv0,verb,,161495,217034024,643,529,274,193,FALSE,FALSE
232,232,head,head,nn1,noun,"The part of the body of an animal or human which contains the brain, mouth, and main sense organs.",161350,217195374,177,991,270,201,FALSE,FALSE
233,233,since,since,cs,conjunction,,161185,217356559,263,353,373,377,FALSE,FALSE
234,234,often,often,rr,adverb,"Frequently, many times.",160220,217516779,162,174,479,333,FALSE,FALSE
235,235,among,among,ii,preposition,Denotes a mingling or intermixing with distinct or separable objects.,159378,217676157,159,147,346,393,FALSE,FALSE
236,236,home,home,nn1,noun,,159370,217835527,302,246,418,527,FALSE,FALSE
237,237,however,however,rr,adverb,"Nevertheless, nonetheless, even so, that said, in spite of this.",159244,217994771,98,115,366,250,FALSE,FALSE
238,238,hand,hand,nn1,noun,"The part of the fore limb below the forearm or wrist in a human, and the corresponding part in many other animals.",159216,218153987,179,920,255,160,FALSE,FALSE
239,239,million,million,mc,number,,158813,218312800,289,50,425,764,FALSE,FALSE
240,240,point,point,nn1,noun,,157480,218470280,561,224,297,286,FALSE,FALSE
241,241,help,help,vv0,verb,Action given to provide assistance; aid.,156461,218626741,350,308,402,332,FALSE,FALSE
242,242,social,social,jj,adjective,,156243,218782984,134,49,218,193,FALSE,FALSE
243,243,ever,ever,rr,adverb,,156047,218939031,436,502,335,275,FALSE,FALSE
244,244,keep,keep,vv0,verb,,155606,219094637,371,407,439,324,FALSE,FALSE
245,245,yet,yet,rr,adverb,Thus far; up to the present; up to some specified time.,155165,219249802,283,378,365,305,FALSE,FALSE
246,246,father,father,nn1,noun,,154625,219404427,254,805,242,246,FALSE,FALSE
247,247,week,week,nn1,noun,,154103,219558530,542,204,264,544,FALSE,FALSE
248,248,health,health,nn1,noun,"The state of being free from physical or psychological disease, illness, or malfunction.",153487,219712017,303,40,354,333,FALSE,FALSE
249,249,long,long,jj,adjective,,151993,219864010,293,545,337,281,FALSE,FALSE
250,250,sure,sure,jj,adjective,,151900,220015910,518,546,278,212,FALSE,FALSE
251,251,business,business,nn1,noun,A specific commercial enterprise or establishment.,151601,220167511,323,201,381,515,FALSE,FALSE
252,252,use,use,vv0,verb,"Take, hold, or deploy (something) as a means of accomplishing a purpose or achieving a result; employ.",149459,220316970,282,169,494,269,FALSE,FALSE
253,253,feel,feel,vv0,verb,,148066,220465036,457,386,345,254,FALSE,FALSE
254,254,kind,kind,nn1,noun,"A type, race or category; a group of entities that have common characteristics such that they may be grouped together.",147762,220612798,617,339,240,212,FALSE,FALSE
255,255,young,young,jj,adjective,,147566,220760364,292,405,306,326,FALSE,FALSE
256,256,company,company,nn1,noun,,147470,220907834,209,118,460,650,FALSE,FALSE
257,257,eyes,eye,nn2,noun,,146341,221054175,83,1182,174,97,FALSE,FALSE
258,258,power,power,nn1,noun,,145988,221200163,233,144,363,300,FALSE,FALSE
259,259,university,university,nn1,noun,,145617,221345780,159,63,375,430,FALSE,FALSE
260,260,almost,almost,rr,adverb,Very close.,145415,221491195,294,430,336,286,FALSE,FALSE
261,261,right,right,jj,adjective,,145404,221636599,572,390,270,211,FALSE,FALSE
262,262,done,do,vdn,verb,,145306,221781905,524,352,244,273,FALSE,FALSE
263,263,work,work,vv0,verb,Be engaged in physical or mental activity in order to achieve a purpose or result.,145048,221926953,379,234,368,322,FALSE,FALSE
264,264,information,information,nn1,noun,Things that are or can be known about a given topic; communicable knowledge of something.,144930,222071883,251,82,295,297,FALSE,FALSE
265,265,best,good,jjt,adjective,,144894,222216777,296,230,455,391,FALSE,FALSE
266,266,five,five,mc,number,,144724,222361501,299,257,342,421,FALSE,FALSE
267,267,later,late,rrr,adverb,,144601,222506102,274,377,360,336,FALSE,FALSE
268,268,nothing,nothing,pn,pronoun,Not any thing; no thing.,144597,222650699,310,654,244,225,FALSE,FALSE
269,269,once,once,rr,adverb,,144550,222795249,232,484,348,287,FALSE,FALSE
270,270,much,much,rr,adverb,"Large, great.",144403,222939652,396,306,317,270,FALSE,FALSE
271,271,side,side,nn1,noun,A bounding straight edge of a two-dimensional shape.,143688,223083340,276,529,347,246,FALSE,FALSE
272,272,ago,ago,rr,adverb,,143081,223226421,449,266,292,426,FALSE,FALSE
273,273,got,get,vvn,verb,,143011,223369432,710,428,165,203,FALSE,FALSE
274,274,white,white,jj,adjective,,142584,223512016,158,475,347,263,FALSE,FALSE
275,275,thought,think,vvd,verb,,142422,223654438,358,742,187,181,FALSE,FALSE
276,276,real,real,jj,adjective,,141957,223796395,404,294,308,313,FALSE,FALSE
277,277,end,end,nn1,noun,,141829,223938224,279,344,317,306,FALSE,FALSE
278,278,around,around,rr,adverb,Generally.,141124,224079348,316,600,288,228,FALSE,FALSE
279,279,news,news,nn1,noun,New information of interest.,140880,224220228,755,137,192,331,FALSE,FALSE
280,280,program,program,nn1,noun,,140818,224361046,294,41,270,364,FALSE,FALSE
281,281,several,several,da,determiner,,140107,224501153,182,210,336,366,FALSE,FALSE
282,282,believe,believe,vv0,verb,To think something is true without having proof or empirical evidence.,139978,224641131,586,287,211,237,FALSE,FALSE
283,283,whether,whether,cs,conjunction,,139640,224780771,419,124,264,302,FALSE,FALSE
284,284,knew,know,vvd,verb,,139008,224919779,273,780,201,178,FALSE,FALSE
285,285,told,tell,vvd,verb,,138587,225058366,294,575,257,302,FALSE,FALSE
286,286,research,research,nn1,noun,The systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions.,138586,225196952,107,37,265,198,FALSE,FALSE
287,287,public,public,jj,adjective,,138553,225335505,258,54,244,417,FALSE,FALSE
288,288,story,story,nn1,noun,"A sequence of real or fictional causal events; or, an account of such a sequence.",138313,225473818,507,253,234,276,FALSE,FALSE
289,289,together,together,rr,adverb,"At the same time, in the same place; in close association.",137947,225611765,327,357,338,245,FALSE,FALSE
